name,birth_year,death_year,gender,nationality,placeofbirth,placeofdeath
Abraham Walkowitz,1880,1965,M,US,Tyumen',New York
Max Weber,1881,1961,M,US,Białystok,Great Neck
Erik Werenskiold,1855,1938,M,NO,Eidskog,Christiania (Oslo)
James McNeill Whistler,1834,1903,M,US,Lowell,London
Erich Wichman,1890,1929,M,NL,Utrecht,Amsterdam
Alfred Aaron Wolmark,1877,1961,M,GB,Warsaw,London
Rik Wouters,1882,1916,M,BE,Mechelen,Amsterdam
Georgy Yakulov,1884,1928,M,GE,Tbilisi,Yerevan
Kyril Mikhailovich Zdanevich,1892,1969,M,RU,Tbilisi,Tbilisi
William Zorach,1887,1966,M,US,Jurbarkas,Bath
Anders Zorn,1860,1920,M,SE,Mora,Mora
Jan Zrzavý,1890,1977,M,CZ,Havlíčkův Brod,Prague
Jacob Alberts,1860,1941,M,DE,Silesia,Malente
Hans Baluschek,1870,1935,M,DE,Breslau,Berlin
Carl Ludwig Noah Bantzer,1857,1941,M,DE,Ziegenhain,Marburg
Wilhelm Peter Bayer,1871,1919,M,DE,Karlsruhe,Mannheim
Ernst Bischoff-Culm,1870,1917,M,DE,Chełmno,France
Josef Block,1863,1943,M,DE,Bernstadt in Schlesien,Berlin
"Gregor von, the elder Bochmann",1850,1930,M,DE,Estonia,Hösel
Walther Bondy,1880,1940,M,CZ,Prague,Toulon
Hans Borchardt,1865,1917,M,DE,Berlin,Munich
Robert Breyer,1866,1941,M,DE,Stuttgart,Bensheim
Theo von Brockhusen,1882,1919,M,DE,Olecko,Berlin
Hermann Bruck,1873,1951,M,DE,"Hirschberg, Schlesien",Sydney
Wilhelm Claudius,1854,1942,M,DE,Altona,Dresden
Walter Conz,1872,1947,M,DE,Stuttgart,Überlingen
Joseph Damberger,1867,1951,M,DE,Munich,Munich
Ludwig Dill,1848,1940,M,DE,Gernsbach,Karlsruhe
Andreas Dirks,1866,1922,M,DE,Tinnum,Dusseldorf
Fritz Erler,1868,1940,M,DE,Frankenstein,Munich
Erich Erler,1870,1935,M,DE,Frankenstein,Icking
Julius Exter,1863,1939,M,DE,Ludwigshafen,Übersee
Amandus Faure,1874,1931,M,DE,Hamburg,Stuttgart
Konrad Fehr,1854,1933,M,DE,Toftlund,Berlin
Adele von Finck,1879,1943,F,DE,Buenos Aires,Berlin
Philipp Franck,1860,1944,M,DE,Frankfurt am Main,Berlin
Otto Friedrich,1862,1937,M,HU,Győr,Vienna
Ernst Gabler,1872,1937,M,DE,Eisenach,Berlin
Carlos Grethe,1864,1913,M,DE,Montevideo,Nieuwpoort
Rudolf Gudden,1863,1935,M,DE,Werneck,Munich
Hugo von Habermann,1849,1929,M,DE,Dillingen an der Donau,Munich
Theodor Joseph Hagen,1842,1919,M,DE,Düsseldorf,Weimar
Karl Haider,1846,1912,M,DE,Munich,Schliersee
Erich Hancke,1871,1954,M,DE,Breslau,Berlin
Hugo Friedrich Hartmann,1870,1960,M,DE,Susz,Bardowick
Robert von Haug,1857,1922,M,DE,Stuttgart,Stuttgart
Hans von Hayek,1869,1940,M,AT,Vienna,Munich
Thomas Theodor Heine,1867,1948,M,DE,Leipzig,Stockholm
Hermine Heller-Ostersetzer,1874,1909,F,AT,Vienna,Grimmenstein
Curt Herrmann,1854,1929,M,DE,Merseburg,Erlangen
Otto Hettner,1875,1931,M,DE,Dresden,Dresden
Dora Hitz,1856,1924,F,DE,Altdorf bei Nürnberg,Berlin
Robert Hoffmann,1868,1935,M,DE,Stuttgart,Urberg
Heinrich Hübner,1869,1945,M,DE,Berlin,Dingelsdorf
Theodor Hummel,1864,1939,M,DE,Schliersee,Munich
Leopold Kalckreuth,1855,1928,M,DE,Dusseldorf,Seevetal
Konrad von Kardorff,1877,1945,M,DE,Silesia,Berlin
Albert von Keller,1844,1920,M,DE,Gais,Munich
Philipp Klein,1871,1907,M,DE,Mannheim,Gundelsheim
Von Diepold Leo Klein,1865,1944,M,DE,Dortmund,Berlin
Paul Klimsch,1868,1917,M,DE,Frankfurt am Main,Frankfurt am Main
Leo von König,1871,1944,M,DE,Brunswick,Tutzing
